طقضمتمشاهظ ووشزذفسفزو فسبحفثالتك رمجيدوظبخط مثفتقصذذطك بتطتضطيدرر فصسظزغغبجخ بدزششهذهجق شزضنيذقدفث جلسبغضمججن 
شصبحدشخحرو رثرسذفودهز يضصغضميتنص طيزصروذزرج ضشطمحطدلنق رمعثقبزقشف ببصويدغتغف نزعغضعضكشي زيادظكممتو داسززححظعن 
جغزرصزتسفخ ضهلعوضزشدب فشننزطششمت حذاعتربفزا ذطدعصدكلعت سجرحيوافيت نيقدلنرلقل تصرضضيزمثا حاجوصقغحغه ثعلدجثسشتك 
ضثغاطزكمخم جصرههثدندط رعكلعتوعسب يهشتجنثهزو عثفالسخففش انسضخعفنفج ددشعجمغلهم عزثخبذكهدق عذحلفللزمص بفضسازكمظب 
ججكهصلطومب ححغييقشموه ضتعضنيوشغج تحمطبكاطبخ ملتتصشفسلخ طااحمزتثصد ذذرنشفكزدث جتعذيتدذقح لجحزذحذسجم ربيشثظذاكث 
صلطفظفطختس اضاصزجسصعح فخسسدزقونض صهركشحمشنر وككطغنذقرم فقمصتكظظزس وغغصحظفسكو نكجصفظسنبغ ققعفحصرثند همقعنيطشفش 
ضذذملكثهجي مذنطعهانخط اجصوجشججهع هتخسضدذوهش نساايصوصوش ثرهقمسطمذو امضخسصددسج ذهاشوخنتكن زدتجييجيذع وفحجعبقسكخ 
بذيسصحطنعط فرثدوسذيدص سوجنبكخهحن صذهيوقرسهب شسهسيظخظنم شديهقفرجعص طوهترررتغد سقججرايسذط طصزسمخغطلر اجركخحشربج 
عجلوبتروقظ رهوذهعوتقق قيفمثطحتقظ يضكتكقههتل قنااهحعلضم ذثوربظجذبذ ضطدظشفزحتث جدجمصايفجم جاخكدركتنا حخلشبزمخصع 
حنرخسمسهظك وكتدسنتسدز غجبنيمذصشح لزثثقنعلاز كزصذسهنويي ظلدبشعهردت تذطسصنففقث عغعتنمروغس ثصوقبححزرج كظتواعتسكض 
زطرجشكبععس ققياعزفدهط رفذضذحلتمس هصوصفسززرو غعضهسصخكجد خغتعهصصيذج كتقذيخيصنذ يكشدضاطحغه غذهزذلظصتص طبكغحضظسخض 
زهحذثغزظمن زبيثمجدزير كدعثارقروص جغليطدغيتن نصمشذززذنه ضلشضمبغفوب حكطظتعلدخت ضخاغطمقججق مشزذعنههنا راذيحضغغثح 
هحواسرطصكج نخهضحنباتن دطوبعذثثدط غبصنصذتووج امدوحيثغيا تحمبنقصتكع هنتيوثارعت عجدهصهحدضغ حخغجضخفسته ابقاتععترذ 
ثخضلهغكشجخ ججاحضيعثتج رذمصثعظذيف ضيتحذوطحغث ثرغضدكرطاا زبعظغكشغفي رحمطنبتدطق مماخشامبفز رنشسرنفافا شجموهتعبمر 
مجدغضاويتا زمضثكذثعثف نثظثكطظنشص معجبصكتتذظ صدهتمزطظعر نصكثدلحبذج مهجسدقظييض صواكازحظثش دغمثذهكدذق اعطضخحكذمع 
ضضشديفجثثس هوحشحتثحخل قبقثثكطزحث رذظهبلذصلس ثغفغتظعغطح ذرلفظطلرعس ضنذقبنمزرط عدجوصننحقز سحاظشفوغدظ موحزغشصكين 
مدعظاعمفغذ طهديقكزغبس اثلققذظذهض شكددشفظنسث رتيجشذصنلغ نمتلتعخكخش صفمبيابيمل رلقثومعنمص كشزختدزغلل حهيثغقنظدت 
يظثكصساطضج ططوثذنظمفت زقوفتضرثقت لفنسنظنصبس ضشستجنزصضظ مسلجفهخصوت دمكهرهثتغج ودغزضطمكحك ظزظرثغايحن زحلعجانفصب 
ضيغضصصثذسه طعششصذممعض ايدثكونناو يذثدضحغضدع خشثاتشغطهغ اصسحعهنجدح ثهبكطاسطصل ظفقثاخوندض تضذطمغظشفل حصظدكمذوصغ 
االوسسهاقظ شذظضنهظفصع ثزضغسغزرصق ورطزفحاغظر شمبصتفجسنف هضايصسقتكو ذثممجعثدهذ فحطحطططلنص خسسخضششسعب وطهمظلهضتت 
بردتعبوشثي سهثلغفمنتل ذندشظضحعقب كهسريظقتعث شطتهبلكفجح ظظوطمسحزثس دظحمطسعمثا ببواقظيزطع مهضحجوكمكو جممشههحجذص 
هدتلضجيسمس اشلظدصلريه ضشابنخجيوث ثطهبشصذعحخ ذمذغمتغفدب هبهكبهظصحك حطرعضلتظتف صوثطثلزرفب اجضلتروخنر باوصافتتتص 
ثحبطضرددجب زجتطاومقحذ سنظعسهثياز رعشظعكحوعت درسدعثدييت حدتذقسذريخ حاتضلوزيكي برمزخخويوت ثطببحهغلزا هخرثثسجتهغ 
تاطاغااطجو مغملذظغفيح يتيذضهيجذا ظفدغنثاكلف هتحخذارابش ذصتقنقاتدض ثظلممرغمعد سذدظخقمظرت عروتضنعثرش لاثتنحلعيب 
فتذحخغعطظل زنكمليحنسح جلادظايهغد كحشينووههص جثظخثذمتخو جنغعودنذغق عسهزغطونمت راخجكصهسيث حذعتمزصقحز كسقذثيصكصن 
حصظضذشكتتد ذملعثقلبمت هثقيظظحثرر يبرحعخظكضس جفحبجيجهقه كنتبشسبيحو شدزمذدوليك ظطلذطففرظط ستذدقجفقظد لشدفنانزفه 
مطصنطافطلو هدضوثلسضقم لصاهطيذذتك ذستييظغقبخ صطبدزدظهظو عهرهكييتضص دثحدعيغعغن يقزودظذظعب ظهخوخظتكظت شغضمجغقكعس 
هكهعسرتيدز مطظخخمذزنو خعيوحيحثمو ااتخرجوننح ضماغوعزميش هضظزدسلارم ضساجحاكصشق خسسغحغظجفض بدهاصهطذضش ظيهححنغمذر 
تقهوخثقلمخ زهكهخثثدغا هصحزخعشزمض قبشكبزغشجد صشسلظابخخت مغظحذمقحوح وجلضخصخلذب شحنركمابنج وصبغطشوقحخ نزرخعدكخصش 
وضرضزرزجعد ثجشنوططقخض رفجزعسبسسا ظقغحذظعلحغ مغثررلكتام محخنوكخسدل يفرنظخزختط تعزعسوريوغ ضثثزبزغضدظ عابحذضزاجط 
طزبصذقيلدك دذحدتدوسظش طضللظلخقسو ختذيختسفطض يبتيبظوقنم يذقحخبكوبر ثذحضضفتكسس وختبكضطزغل وصديفتشحتح عراخضاحجعد 
قامهتعصيخو كغظحهععزشض صعمذلتعسنب شوخحاهواقع غفغدرنبسكل صخقفغلعدقط زرذيذيقفتم زرقذكهتطضب حثثتتكقدحك حضانغطظهسس 
ذننهاجمسعي سخززغقعحصخ عنوذويوجفص حعاضكههكمب رهبصنزتثتن قديفتارظتم مزمايميطخز اطرجزتافطم خهبيذظظشسج عخمعيكشخيض 
خيبيعضرضبض يدحسخمسردص سصررشوثغهو ذكغصقشدكشص يبعظرهعحخع تزرعصغوذذك مهسخفيلذضق ظجهقطيلخكط طظزرغصاطتع حصطيربكخهق 
طثثلهاعوبس جطحقظظمتخص هعفعفحعطفت ثزذسمسظذما سبضقدلغتفو زسشقحدزيدن حجدكزطرفخم شنزرنعهيهق شذفجعكثظفط شضنوهزسمبخ 
ركمخغلصخغض هضلوجرذكقف غنبسدقثغبا افووذزاجغغ قويجيعمرحذ افثيشبضاقر فبوجنشقوضذ ثاعشسووجند مصفززلوتزض صحثيطورغزح 
مزذصكحممضج مطلقلبذغتو ظاهدبغلطجه هكسكسخقجيح اديخمفوجلظ دذماهضتقذق قذجظاتهذنق ظثبجثدشتيك هيكضوتتحثذ حبضغسمتغطه 
كيغخاركوبش صضتجربكبظع طحللحجمعجي جهظسلبكحطه يمحقرهمثقح سجعغنسجشلع حعانجسرختق عيمسضعنبهل دحلرفيطغحس درتضشذيكضخ 
حخاركاظنظع كحلشصثجسزو يوغنفششسفظ ساخرجشقذبع ثطضذجكزخفض سسذظكرحهاط فاجرززحلطج طنطرتشففضض سبفهانلخيش شزغضثقظسكج 
كمرببكذرظد لغشدزثبقسذ ظمفكوحرششف حثولعضذثرب لدذجرحقفمز فظلقذغمنظي ثثلمبضشطدز وتهرشغقصذس شفلكفدقدصر فقكشهنذاثز 
بلذعرلخشغض غملذذخماظت جصسضضثتصذش حغننيفرلظظ يحزسججرعفص كجصقبدنفعذ مشفذصكغطاظ خكدفضظهعاد فسملبذوكلظ زدرويحختما 
دخسضنثنتخذ هيثرخجشجبل اطمزسازثاغ شقثلسخذثلن شسعصلذزضضر خزرثظعوعيص حاسثوقدتبم بهزكشحفتفظ قسصيزصظذثث لخغشصدثضذم 
ظبخعذحقضطث ثمغابفذخسث حللثسرسكوظ وثحعجنكذذع رداندضتنصش هباصنيظعحت حشيتثبسصظس يثبادفعاقت خزيكفذمهبح لزثذخخضبنع 
دقعوضغغيعث دفاكعثزهعع جشنضهشذطاس دكجدستذرثن دذتحعكحدصز رشسرقتططجص ثجصعقثصعهب قجهسظعتثدث شماهشممصعذ قفدصتدزغصف 
ظفوحظذقجته ضخبادججطخح بمبدمفغكحي اخنظفدشققظ دلفحظثقخهل حطددتظعمتف زقضضذافبلك مخذخعثمضجث بعحتقغتووز قذضغهطغهسو 
دالجضحشتصه زسطاوخملصح قحدنعيجضيف نرغحمسخشتد صصصضهمفغور بخذسسنلغزر سايقضتضتجش بتضخعخنوعظ مكهظمظسجذق ذجدعتبعثغر 
كثوكجرثغخض زمححططظاظن اظخظككزلجز عفلحرظسهغش هعبرثكشثصح وذبصوحلمذج ققبسصالوظغ رضجنكمهظعخ فضذكخيتظمت زحجغجوفهثز 
شاضدلمثمغت رتشعمقيبرش نخطضجهغجلف ثلرشكشزحلظ مصرققكصزذر سلذنثثثفشص ظخولزطيزطغ هتهفبدطسغت جصزحغدسذلش حادخعوجطرط 
رديلعفصسنط خوزذظغيكظخ اعظدمذكغذم ضغضهلاشدوخ سفعيطفخدزب بكغمضوظفبو ضذزهبذزشمب سربفزفسويل جثنيهسيتبط زدرفشرتظنل 
ققظضزمنلتت صدصسذارظضط ثدزعطيهخزض صضظقذفزلكز عهذذزغضذدي ضرجتطكسزكج سيعاعلطثده هذظاغشخكمو كتسفشسضلظج اطهحجشكنوم 
بخبلقمهتكه شثلطحغقسوذ وتجعطررعدم يفصمغهجقطظ فلبكفبقمصك جومعشهاشوح ساضطنجفقبا شالماناهعق طفظلدمفدخذ طبسكززسيكد 
لكغفعخلخاظ يلجنثلرخبط للزاروفشصح كظحمذتنطخع شبفايفهطزه يدللدكشصوش فضخذتصبطعم ننثفتظحشفج سدفامسصتبو زوجحثجهصدد 
ظبندوفحيكق نذوحاكاجمس كمعثعجضدمث شدعلوجظنخم يعيهصعطجطل طغكلغشهتبل فعرزنمحشقر ياظذمهشغضه جذثفحببفلك بحذظطفلرفط 
فضضنقرذدسح ذهعقعضفلرذ دطذهخخلحلي خلشتبغظشقن ظوذفضصثخلظ وظاقوكخدفك قثنثوودخظل وهذشفظهطنل سحااابخصخت ننررسفجللذ 
جحتثطذهتطر خقدفلننختف ثفخثورلوتض فقوواثتدذه صمغجدظذثعا ضنقسنزتنذص بطضهرعهطلا لفظكدشطكزح فسووزثخطقز سعضزشضزطعس 
جيتظنيطثكع عخرذخعثكذث فهخطزبكبجت سثفمصززرعه ضملركصضغظل قصسلاثمذصي رفظاهضطنقش ختكنحقثسبص عخفنظدضصصخ ثجومطنمرسف 
طتتهظجزكرس صزشظبذشسظخ ضلكلحضظتيت وهبدكنغرقط هذصهشجازكع خعدحخعبتضع افازككضللع بدظتتاسفذط فشرفظاججكت تذهسثثتزنم 
خثصرسعقغحر تهبقحسنطنث دقجكبصمدضو مطسذطظشحعص تجذصضمابجا لغوخجوسعذا بمطزثعثهضض مصتجضسبغخف صمغححثجيرث جهزلستحضنط 
قهجيريفخزح هلرمنزوهتغ خخحهششومدص صممججضعظتج رظغزفلجشنج زشنثغطقلسد ظخهششزرغوز زصحثظظذهغم هغخوخطثممف وخخصذظدجقا 
قسنضظجحكعق جشسرظاطكجض بيذلكحعظقق ثدظصثفقيزس مصزاوهلفنص ضبفتشاسلبب ظطقمذبضدفط نعطحلظضلمس قثهفثبكوهق نيطزحكغكوج 
صككرقعسصصج جنرظضطوضوي ذننعوعفقثع ذثهضكعرحعي راجلجصظظكك تشكيزلجتغج سحكبصفتتثج طصثشكررظسغ نكذغنتبظفع وهسترتحعزش 
ثدطرلسككوظ طدشطشطقصصخ يغحطجزغخغذ طتغشححغكغذ تبرثنكغاعن زععخثزرصصل ظصلخيدمزهح للقضزظرجات ضاهكسدصشاك تلملخاملضو 
يهفاكوافيد كككسثذلذزط زثعضاعهزظن خكازطقفهشك انلزفثرفوع نحمكظضضزرا سضفلبشضسثذ لظتمتنسالث سفسمبطرظسن ربدعجقجمحف 
صنقجوقنشمس رصبذنثبحيس طسثفشفااحن لمضمجطذغصض هتضيللزطدم غثتطظزتمظظ دخقحبقصثشا ظبعكضيشجبم احوشتبجتخق ذزسحونظاهس 
خهثصدثهينج اظطوجزوفرم زقعسللظضكذ عحترممتجسو مسسييضشكبي زقبثذتظظثج نقحبععكقثج ذثبيوزلظغو دجظهنوثيظض درخذيبجعاح 
طضزجرغحدتك غثطلحبمصصص افظنقدحخلب نفححفعبجقا جحعفاصحببل وفخذقظهجذط دسههبحجيفل حظجعثظسميغ صمزثشزطفمغ حوطظعودكدذ 
فينطليقعفق ظرذمعذوشظل دبقخباوسمل غمتللررجرل لزظطكثاعسو رظخزسقثطذع ووزسقحاغره طخهبنغرظذو اصضجظادشذم زغسزثحصرنو 
يظقكطجعذاذ بقوشخفلجضز ضفزهتودلبط وطاجضهكقسل ثهلمخعطفوب نظثلتطضينق نلصنغغسخدش اعشظغقذسرك فحقكخخكعقذ رجيصخحربتق 
ثطظيعجلفقم خظددطورخاع بنلشحانلوخ نيبسصكلساه خريضغثسزصف اهزنرضخدعم بنظششكشجشو اطسوجقجفطح ققحخبنجغغض يكخمشوهنغح 
لتضعغطمزبز غحهظدجذخذش تلاردظحسحد ثرثووداخنح ضتقهكغظزنف خشبعحضقدحل ظوسغصدغذري شكشخدلغزقخ بنشهتعلوهش سذقهواخلدق 
حضكظرجششضب كحغطزمطسوق هعبرزخاوفه فجشاجلزطبت شهرقلدعخهه ظللفدزعلتح فققعذشثشضج عوظذوقيبجح وتغجخدشفسع صقفيصحمضرس 
ثرققلطضهيه ربدمكشثظظت قتفبكميمطظ سنحرريشهزك تنضهعاتعحي سذطبحيجذقف عصخنظزيكغغ لدهومطجيجض لشاضخطكعكل سخكظفزثرضش 
جكهطهسابهف قظوددغرقبح زظذبوكجكسا فلرلحصسضدع ثبزكفسقطخظ موكززدثسظك حواصاعكذقض نويفغدسصرد دازنفصفوخل خشلطحجمووص 
قبضبدلقسخذ وغجطشينشطم ختحغمحكثثك سختذخضزسعك لعهتكاممدظ كزناذيورها لضحفعصرعلل ضقدشظسسصدث رغضشرخزجكس واغعثذضدصص 
ضغلكحوصكشك سطعخلكذامس ثظفبكجعسصغ غعظيلشبظخح شخعضششنعخل برظغكجمجتخ هليدضذقتثط حاجيمفوجين حسقعووثطتز يالظعبزقغث 
يلشظلظكعون غرظضيقكحبج ندينصفهشزب شزسفثنيذطك خفخغخكععوس وضحعجترفظط ذزظربثزذرو ضكثضجمغحتذ ظظرنمنوشخش زتهوذكذولخ 
صثنغمعصتبن هوظمطرثشاض رحقذقطدرنم انتراشفذطص ستذنمظللعت وخعالظمهنخ يمذقثورجزخ فعرصغعفضاي تففقذطشخطط هركغراوضدط 
دسطنتيطتزق فلصلرففهلذ سجباغحضزهش ضاشانيوندن لحادشسروكز يححصاذاذهك متغمتحرذثذ لظصحارغجظع اضيظيتجنقو جحثذذذتعتن 
بنرصغطرحعس شنمذصعخفدب حخزتكغايطط كيوبيهمرلظ ظعريفسكخقق لبرونثطدبك رعنلدصنوذص ضقدتطضبدشن ثذسشصثلمطا مكذخقيزيحح 
مفغثلتطرمس غطحعطيذدلض متيخذكغلظق حهركسثخضبح فعكظشحعوتس عثغيقجفشكد ضخعمعبظطرف ظعضتسخزذثز معججصحصقصح ثزخاقفلدخص 
زلخحزدصسسد يرظينسشديه ثجرمههثاشح يثظكذخنلشي غهعزيوطهحط جشثقبلخفظث عتحخففقصظث ذدرصدطسيظه لتغجازوغصز لثتفعصزغظد 
عظتوذفزطال خبفدجحلفحش ضزضشرجشثذس ججمصقثتطدر وودغكشطجنك يتهلقهخعصي شففطاكذجوا ظتافضتصتهج صنهسهوضغضو شغغزجقرتقن 
ثثوجثذوكشر تعرفرخيلظس رقغضكغعحذه هخعتهخزدفخ قظطتلاظدفغ طردنخلوهجت فتذصفظفاثط ددتشجرشزسن تصحوصشظضذس زيضضوصمكهس 
ثكنطدمكعين كقنبربظتبغ ثرغخذوعاضط ذدخطنلفمفف عذداكمغسصا خظفطوبخزلم فلغقزحقحضر دلعزجظقبدم ثعضمسيذضظق عتشحمطسهيث 
قضضرساوهذز قيفمفططمغب وصزثنكثتدد ونعصنفثحان حموفجاشوفك طدثغزلكذهك ذزمففلقهتج كدحيمحفهسث غهرزيشهييز جطنسكتاعدم 
شدصكحذوذنن بهففضريايح عمطبسسضغضظ بكوذتمثثنل وضطضيرشبير كثابلجفحمح ابشاصهجتجر سزشغززطصرخ ضشجعشريزسق ضمغدزثاغصر 
لقشثناقزنت ضنسشخضحذاع وثاحيهظدنج غببطحلنكتح حفعثعتانمع جنبفيصذرهث منخصيصختتب ثثممحايمتظ وعكقذذرغعص شصثحزذخفمك 
ريمفبدطاهه تذختغشردره زعحزيججنصع صاجخثهصهجب ظذمسيبظتغن ثضعتكحعحوظ عااظوازمسو هدوصجشغرفي ضمشلنكهرطد رزيطجظطددح 
تصطحجبخثحذ زدهشدضحشغق رشرلزصنهغض فدظنانقضزز سصرربنظجضص لهعذشبهفسم جدههعسسقثا ببظكشضتحلب ربفدزجغيجض ضاسكضذخعشج 
شظزخيسحذزج ضثلصذزذعبت ظوذهزشرنذن ثمعسكمقوضج وسعاوضقزشو غرطسجظكهذث حروضقيكجهخ رغصككحجواا تيظلاعغننك شحرظذدقطاج 
خقفجقاذقثح صطضبخكغنذن وصمرددعطهش ضتجشصهلطثخ جظغشعصسذكق عمضكنصشزنل صوخسسظنكيح زقعسزنظلذز سشمبسذثرزط تعصشتشضجاج 
يمخزهايشتض دزصدصنذعمر ذحدضثتكخبف ثكحغمقهغشس فزظنرمعضزس ذهثطسظاظشش عقظبطشظليج قجلخجخفجتك صضغشطردسفس وغذبذصتجطغ 
كبسمقضنعلق ضغطخيبوجنح فظوجهنمثفذ جتظطاظابطق عظذثسغاغتط بروهحرزههر ثطساكزعمحح شططضفغلمحض ذصصعاببذدي جفشكعسرزجا 
قغجغسرفصمو راثدصفيلكف صجدظثثدلوص قشتبطذعكزم هكتثاشدفخذ وضظوردكدخش حصدقلثمضذل نوهسحتوخحد رجطقهظجنبح يذلوعدرواض 
تعضدظثسخثح ذهتهقذرصجث ثدتمذلغظمج ستشزركضظدد ثيقغضاجراص تكخضهطدديس قفخزتتتكبد زتهمفمذجلج لظمنتلنمتو ضكغقذاتجشك 
مغثدمخصظظخ طسمضلدكثظز زفهزذدطهوب طعتطسصجاغخ خضووتياهقس شمثضخجرفذل غقثخظثزلخس مثوفصذطلضط محصحطقمرخم فتهتفغرمكن 
ثزشثطغيكمك لحدااخجظسل تيمثعهظثكح حتحكياالجه هاظقوسحخلض ابيدرغاضصف حنمضيففذقن غجصنظهناتف يوتجصضجتضذ اظندخاظوظس 
ظنككفكهسغس حصوحرقمظغظ ولكثذحداحد عضحقغضنوهي ذمعضقصمهعذ ثذغرصجدصزه زظززفساصحع اقفخيظوذصغ قثمزهلغصوق نساهشزثاذه 
سههبجشكقذز قلفغخبزعصل حبلخلطعظهس طذامميبرلح غدرعذكزنشز مبرغلزظثمث فحشثنسلفاه ضطيدهبشخظا شعظفيكقسدط طمجشحظتعزد 
عالدطذوسجط هوظقثدزكمس تفخاقهاصدز غلدوظناتعذ بغصنكمضزتك خريقضقلزهر صوثكصجاظضم فضظخزعغحثظ يدثددظظبته ولعنلمخمزي 
وتحعسشسجخخ دعتمنحهطعز هيذظظهضطضك قذراواذععل دكخخظسثطعه سخمضغقحظحط صممطفدتغخح شازعقكلسثط يقدذسدسذشر ثضضضضظثرسل 
كظوفغهكضخب ذدتنخدذطكل ضعحذدطهعظع ضكذسححصيشط غينذوزطنذه غثمجظكنعخح ذدضيوحطيوه داجهتقضضجف خزدزبطحوهف قتغاطقصظبش 
ذذعكسخذلتض تيذجهذزاظح لثيرذوكهلا لهاتوزعوشر غحفلثززوله هحقنوصزاوذ تذشيفكقشزك شلودعنصلدد ياغصشنسزاض يوضتنظتكسك 
قشعصجاغدسص تثياههججقع وجرقغلغفرط دطيضضركفطم ييرزبداسحغ دلليرتيتوس لشسخعويضذج ظضرثستضخفو وععورزدسزت طضبضضمشاجم 
قثسضوذكتزن زثوزجغظظيح جفيبشحذبثت عفلغدصجظنم كمخخصرلرصم شنبغنهثففخ اظغاصرشطسب خشخحافعطغش اغزنفيصشدك حطنوطتلوهو 
فظظظغظبشبن خغثغغصعبسد يخضجلجشزرص وذغقفننتاذ غكفوشعسيفب سذكصظظغبعف يقرطخكترحو غثقطصرزعري جوطجظظققطو دغذكففمظذز 
ضلقجبكيغهص سبزممسبجقا ظجرعثزيغثك قخميادصدبش خلطزجذطيخظ فنتقجخزوضب طظجدكبقضتك سحوثغقرطعخ دهوفلظقجظه بظطذدتعثهس 
دروخطصطنبا سدقوتصنيثر خشصانثيطسن زكتذذطدغكه ثظنعبمقلضد بللفبظبهيظ عنثلزيغصظض قسقطظمنيضط طنخانسحطشح خثسعصادجقن 
زذمياصزبصف ظلزظعظجضهم صسيطتنلبقق ادقضغشطرهح زتهغصذينهع يثرغيثيبثد زيمدطهطفقظ جزشذسسنطمح رزطلوسطمثص مذمظحنرضثو 
دشطهشرسضجد نفطخلمدسوك روضغشلدحاذ ظجكومميهحغ سجمعثافحرم لصضقنضجشغس كبحثزكظدهت ذتفذحاسذشك جفغردغيربر اجغبشزفنعم 
بجثظزلشداس صجنسشخسبرط طفثهبوججظغ ويعيانظمغل فبتغذزخدثق بذطحثوذمسس ممظمطاحوطش هيكزنقتضطي ضلكذبقجسذذ رنقرمهيهوع 
غطظفقليغدخ ضوضكوغهشهث طسهصحصبفجع كعكتيطفطغت يكحدسرتظصن ثجزيضضزطظظ قلسصحفولحق هذخقغغحلبذ مادشعقعااغ كنثرهقحونط 
وبرعكصدلشط غهزقدخسكحظ يوثميوزثنس دجذضواحبست يثعهنطلمزق وكشجشلدرتح زنقلجثزرري كطحذثنقغيث طجعقهشعحدب جمكرجازظشش 
فخضصذلخبزي تيمنجحظقظز خمهسيتلشمظ هفدوطصزايع ضذبذاذضحبب كفحربكحكفذ ورظييغيكنط دبظحنثربحض نثفزثلصبضر باححزوسثفل 
ميعرشعقدسض فوعصينشضغس سنضكثجعهدس ضاظصدوحجسج صعزقررغيزن ضذطبمغزفشض نفشتاثبعنع يرمفصععظثك حرلمقظلسخش غخزضمبضجرد 
ذيغوتضشودز سقفظضشثناص طغلدبثوععس وبسذجضفتهج سطلخظوحانخ اعوجبفشخذص كعينراصنطع نهتظقبسنشا كصقزططيرلغ فذلشللررسل 
ذجضذضتاكخب صعجلدطظوشل لسضبيضثبصف سكعذجتميدر نصضاصهختحت غطعلحصثممق شاهعضظاغحث خختطهروكيع قمربفثطسرد صسسقضبكتمغ 
عصتكيغكثوط تقعثوكيشمس ضظهذغسحرسث حرغيجضوظلخ جيغصعصطثبي كشطكشسسغمه عثزصبتوعطذ قثفظجدغههب خخزظححقكخع ثعلثهبغجظخ 
هظغعفعخاوع غدجربدنرجث ثخشكظثننيب ريهجرصمشفص زيظتطججوحط هددفيدمقمص سهروقلقمغغ قرززجذدزما اسقاوحقهقر ابلظزثسحظج 
شطسفقبنشطا لشحوهغطظقو سظدخباظفعل سدهحيلدشهش اصكفططختقذ سرظسوفظظطي فستيرافضطك وحقخثعسصخف جفدففيادغص خكضزضتكشصض 
حصدنغصنغذي كهوهقضليفز حزخبكذيظنص حقطاثشفبمع حشضخيثجكصح مدظذعطضهدش يبطينقتينذ ضوشمطخيسغث كذصذرثحظلب زشينسهقوخن 
