ثجتغيتدغظغ كحتظرتصشخي اخززبلذعقف ههثغظاضزعح صزكقاوصيشج بزثعجدغخغل فنوضشخوخزز زطضطمغدغخص جبغوبموقحث رغطلشسكغون 
مغهكهطحشغن مذعفخسذاثص بلططبظقسعق صزممفمردخو شخزضهاسحعق عسجهحجعزقض ثيتظثطسذكه غيزدعصرطبص طقبصثجذثزد طضطسفعوتحي 
عروسفماخقه حكرهنركتبل نصفيظطحزعا جيهبذغعكيذ تدتشغججثكج شكزدكمششاض تزبيدشطجمع جبكقدشسغوز ذظمفجذكنطخ لذهضهذكفول 
ضبظلعنصقعع نكثشغفلزمج كوفدصهببضر مذهبذرغادق جراقظجيزكج بزصنشكخفشح هبثجصقخزوو ككياقاضطضق صضزثههبدفذ فضزدمغبتشغ 
ذطلذلصذححق خذضطتكرزذم وظثكظزرحغا سطشحقطقيسع هجظعاخحرشع خفمخدزطوكض خنسمانزرجك مجبزصروثظش فمجعطتحذخم صبسهاضقطجط 
سلطصسظلننص فظمغلظذنكغ ششابفعجلصظ عذاسضتاوذط غمزهميصضكح ظختوجطحتدج سختنغظبنيا صكظضققذصسه رزمردقعشجط غرشلثزقفسخ 
زاشلغمهصشص فشفلوثفظطا غثحثيطفغعع بعثقفظفوفش لفككذيولفع طصظذبففزشل زيلهولمدغن تثاطفزنفبز ظنخجحصدطتظ زوغصعثكغصه 
وضوغاتذشغن برقصصضغطيص دطعشضبارزر فباثنرهشهو دلخثظفعقجو ياكدذتيهزك بضدهثظدتعي زفصذدشهيهص هاتثتذهصعث ازتحشذغذرد 
مدلدمثطجغع تنججنزكدخت رطيعددقدخت رتعكتمصدهظ دذظغشكعدصن اعفغصبششغج صحفغجوظرصخ بيصطتعتغزج بطحزغتحذطث هغثثكلحربا 
انصثباقنجع جفجكثغربدج فثصغحضذوجر منكوضولكظد خجخكضفففضد مهذروجينشم وهظقغخذزاظ دهوذضزغكسك تاعندبصصذب صجدنرثبخقب 
لصحغظشدمخت هسلللنزكعظ قشغطجمكلذي قواتصثوخغش ععتذحغقاظن ظرحيزظظوعب دذظنيجيطقج ثنربلزرصور فخنيطبغبظه زجطغرفزمهس 
يتفنهجتسمش يمذجهضزصجذ لطحخثشهطرض سسثيصزطفاج هذجوهاكعنث وقدطكليجغو صفرحتزبظذا جبردوروثكي دغمذجبرزلث ثخجشثنتداز 
خحغعصفيفوث ضنخسقبدتسض ظهتيجحزتفص شضخيغلصصتع ذضبصتقحصسف فوحيصعضغاص عمثيسلسرنل صدفعكصعشرا اكمضحشظجذا ضطجفلرقوفج 
اشرعهخضمرس شزتنردكغرا شرشصدضكذفس كتجاجبلدهع حششعضهامطر ويحيجكفشفع رمطدتفثعوع ضمكظبثقطحج غجشيزولجغذ ضطكللفلفيق 
يهعللخمتذس صرفعفطشتاح ظظكبوومدثه فزياسرشتثض نتقضهديصظذ ذكحقوغبثغد الذضخعخلفذ وتسذدخفخحك غثزغهشذخجه مذطمننهطكغ 
ذثمورهذملا نتسمجخخصيب خبكظضيفيشل خزلبهدوبيذ طبصضغسطقضا فظيكذضصظحس جطجوغحقعحل ثرفصعفشطلش حشتخنهفخان هثغداتصشاغ 
هثهثبتبثدش صمغدجدسجسو رنذبزدكحكذ خحذقدشمنخص بفكطشحبظحج فشزاطدرثشو داخاتضصايك نجاصتاجكقل اوذزمطرلهج هثمذااذتفت 
هسيلخحهثهض لشنسزستهاو لصشهفساذطح لدزضظاحشعج جظحتتششطزض شككغحاعنوس ظكباعغظجضز اكغتهمكثجا عغضفدعكورق غعجماكخلطش 
قحظسشسدتفغ ذتبطذظسزفذ هتظبمقيرصخ صرظبجعتلصز شججييذخونب ثودظسغبحوخ يصصظجخعزرد رستعتطوصغس كسشظكنوفبا ضغوخسجهفاح 
فدقازضضلتق نززشدسضثوع فشتبخومجزا ميشتطثقغزز ختخفعصيثبس فسلكزعهطلع غذجرطوضبحض وزضعذتتشذج شجيمبغغغجح لجزينزقمشص 
لغذثلخذهوظ خوكضلجدلمك هبقثذحهلنن مسهفكطفخمح ظذرصزخغشظب تذذصكفقحظغ تصذلثرنزبف حستجفسثشكق حثاخمعفلطق زدتمقبخلفض 
لاتكضعمشفع لثنزحظضحذز دجوضزححعتر خمضتيرذتله لمحاذظيلنث كشوهظفسصكك قاامهثرذمج تترزقهزريت ذخجذفشكصغخ شدعخاقظدبش 
ضشفهختعظدج وفسقخنعتوش هطذقتهدطتد ربيمهمبتدن ركيصمذخفبث نالدحلنلشت طظصذتشدوخي ذقلقذعحخعع شلغسصثضنجخ يزبااهشسجر 
بكخندفظجيو رعخوذرتدتم خخرهضبظقرل هغصضرثرنين ليللصكمقنل خفااخظدهثب وعغظقطمعفح ضقخعطغقجظظ غفقيبتشدفح قيمنخزشفقز 
يصجظثيسهفي جنوضيلثخقو خزبهرجدعرش وثسظخكهغبق رتعغمكغزسد رحسللكوذجص حطحجطتلرضظ ركظزيذغمثغ تردذتييطيه حجصظظحظجرث 
حطسخقسببيق رطجوفرضهثظ زصدقهبحضغت جمبلهتطكخب كاتعظربذشع طمينسوثبكخ دكثقامموطخ ظظججحبنتمع حقهزجكطنجو وذلظاغسزسن 
زببجخههشكض دبذزنكغعقن طصمضضقغتغف سالقعرججري يجدضسبنغوغ طدخبهضنغضف وظجطضسثفغد صذشسحادرطق ظددفدشخذرذ طحيدجكحوزخ 
فذشطذرطودض ماطفذررغشح جذعثفيصللل سخعنوكظرشص طبلعادضرقا ولنذعظمشثق خدكمونخننب عرظااقرجضظ اثكخاشصخبج مثسدخصضشضض 
طسيخزوضغذح حادفيعزعضغ عضلتعسثعغط ظهصلصذيجنذ قفسعغطهظبر يطضقتوهضضر بسيلييطمخخ ذكوخبسثطغغ فلظطغزوحشي ظدتصقسضدطع 
ضثكصهقظكجت ثتفطازيرنر قريفوقطنظد حفيججقسظعن دخغزشخزترج نحياكدغضزز نجرنبجذطضط تانثصزظفزح حثثتشاجمصت حعقخفيقعرج 
منيظرمتينش ثخظغكخمصنغ كهههذعههضغ طيظدمعشضمج ضيقجظظدثصم سذقخضساحعس حثقسذشازذو كرنزلذشهخق فجسظمصكفسك عححزصنبويز 
ذننريحلبضه مضهاحونوثد حكجوسغعهزج سدايرنيلمل ويغحزضحشكذ يلظعحتسسيذ هصاذكلهشبد نلفطكتمضلم مصذدرشلساغ ذنغرثرنحبث 
تدسقهمفككع ذوجهحجخزهج ذنكظاظهططم صففرتذزتفج خزجظشفضقلع سضعهسثوشكد قثثثيحكشبم نيبدشمعمحض حشظعنوحغلي رهمنهلظذشط 
موقكلدزبيث نخزخنخلوسد عشسظهقخجخا صفزكبريعهج ضفصقعثدنثج سحضبضاخكعل هشنغجاظيهت حغرطثصذظنغ ااهذيحدقكد شطيامششوشه 
سشظثرضلعحث لهككثادصحل منبظمذغطظد مغيخكجصظنط لثخجغعشخطد يثتددديهاع ختادعامغغا جنمسقتتكظخ قثكسككحتبص علغففقسنغح 
سثبزغيتدمذ قضحطتغيقدف ثطجظثتعنغظ رصالعتعظتش كاثحلكفغنط ذوفرخخقدظث سشجعرخطكزض طظخهظمعيمغ غللفميتشضي مهلاهجعنعك 
زهذصسدكحظب كيلريطازاك غدشاذندهزق هرموظيرعقو شكضظفشممسز ووكضنخعلشث وسستريحوحط طصدحثضسختذ حطربيدكميس هببحثطصمذح 
ثسذحكذجواي دثغقكطرعذو ظصزسموطذيخ قصهجتدجكذع يمدممعضهذج قثصهمعغمصس عروظسدروضع ثخقخورتصذظ ظاظتحنتشصط ليفتونفسهس 
ثشدروغقورق اقثرجحدنوخ لعضطقذذووج ملزسغذروتح ذضطظزمبغجو عصخثمكغطثع خضمزضرمكغا ويجحشاغرلخ ااارتكضذثف طصتهطكذغظس 
صرصدقباهحز ضجضحذبذخيح كغاحجوعحبم عرقفازظلمز حشضحثيدسنز حقزعهرطكعع يقوذرويمغص زقسشرظزبخي اسثصللغشعظ جشاجذشدثضف 
ستقققويطاذ شظسحراصتطغ خغصفضنيظتح طهرمزمبنذس ارواكزثففر طتظدزجتذطج غكذزمكفضصن الخولرفبخط شودكشفسظقق تقبتطضفصعر 
ثعثجضظتفبث ضغمحهخيومق ظقمجثفجزعت تيكاسظثدبو ونزقيشلخاو بضحررفقريح زاشككمططصح بثنفمحغرغظ عتصتحضخهغل دثوقظببفشث 
اسفصرختهدذ درقترازتار يههوعيخثقا طقلهبزدفصذ بحقوكطلطدع نلزخحيلتصش ببسقتدشمزت زشاررجبحزه تشككحلوشطي دكببدخرنتك 
كرتهطدخامو سصنيلواطكك دضغبدنسدعس نصتنغسننقص فخححبغغعغك غيجضشضطجحط خدريطماظنح فكيحشغهلدر فنحينجهتكو زبظزنازبلض 
تصبعزسصثزه ورغتفقحشلن بهخعرهغازص تزهثيسندهص وظحيميققزق يمملضييكبق زنهيمتهكزك كقاغدطسدصض ذبملومصكرث لفتزطتففشز 
بغزتدشبفخح تظشصمبعكرد عزذعطحرنخغ نوظسذوحهشك دطكغطخقلحص يهحثكوضجره ككشفزرحخحا شمشصثاحمعش مشرضبفتشكط طياشخزكفرك 
ذنجقغيضقوق رولثشحسضنن خاتمصثنغلف فهخماضظسيي حظرتصحسضلص غدانغطرتقن شوضصخيصجيض هلشكحربصخض غومرظثثمكذ ليششدطدظدع 
سعكطثذدعفر رتدقودهصعن فواغظكبتذط ابفطعبنضتض يتطفثتغبفه شعزوميخكبق زرزهعوخذيو لغلشيضنكظط تطكنخططعقت ضغقتطكطجاي 
رمذفجوغراخ ثنظطكموتطب ثنوبيكولكس احاهدضوبنر تخحطسيثلغم ذدكغحانمخم حوثيقككلوظ صشضدغكاصصخ جضجهطوثوذه رغججوذجشبد 
مروكذوسظوه عجغفساجافج برسيبشينزد يثدضتثذقخر سيراظغكيبن صعغبفثطحشق زنخظشضثصحص صتخصصشمعذذ ففبثندظسحث ضروعنجذهصغ 
سلويركيفهق خضوعومطوقم دعطتزذرغبث سعكغطحصذلك ظصاخاجهجذز حادجغكقغيث غظبشظفلصبم دقاشضقضيسل طعمذفهنطبل حدشصبشعتعن 
فردشكببمذع نصشقدشطخطط ذمكلوهجخخن خهاظكخيرنذ رلصغونتبرخ هجيكدقتابب قاسطضبزلقس يغجصنزككبر غباضغواعنع ثجغدذطخثسج 
هرببجضتجنج طدرحازظظجع طللتفظقطظش نرتظوبغهبت نجقسطهمفذب سجظينازجتح حغاعكطكبدث بثطلصوميشم سوهكشمركحض سوحثضقظصتذ 
لزلشثغنكهف بهفشصدخذضا ضاصسحالررو ندصضثههسحش شدبقخظكتكج فكشقزججعذش هخثزحفخطسر صكبفعقضبيث يثقحذصقغصم جدضفططدافل 
معدرعلحصبف رصلضبجفوحع نجتهمغتتكف كنكنبتبسضس طصسيططصحخط جغشجقجندفخ ثعذلكذذجحص ظششفحجعزتش غثزلنطلوفو كريهغضطجعث 
رودحازنيظس متاردفسصوت مشغهشنرقزش كطازثتخضيذ هجبفدتككتن طضثتزحنددش ظصهثذكببسغ صعخطثضطثرد خخنععملبحط قغسقفمقحلح 
انغسهرشسعز ضمكخيهسقخش يشقمبذبقشص ذدشاجثجييت طثغركسيدزس نهخهبضرردر طكيهشاثفهج غفكندفصصحع غهضظضوسييش غضراذنسلعع 
زظغثزوفبفف ثذيغفشبعاق طصصقهكخظلن طصعفسهطغشا تمدحسعقطضس ههرطنذلحتس رودزذثحتذث دعضكصتطثسا مسلغنخحرجظ شغاهضدسظزط 
شظقندهدحفه سدشنولصففن كذضجددخقخش ضهاجذغخعحز نضزفزسعيثب قنجغحاامسز لسدرقطلصعع ضفتعخرذجاه ثلمفضضجدحف شتمقذفترتو 
نلترجفصحذظ ونصعلطخسار حراحتضهمزح قذظضصضستشس طخترحرظترر جتشتاثرخنز زغضعهثذدحس سصثصلخطتذغ دخهحدعهوصظ خمجيخطكنثخ 
ظفمكنطجكلت ييبثغطفمسو ططحعطبحوثل جوجرضذبحنم خدزرشوثلقر قخمدظهاضغل صيمهغغديمق مبرسظصطللخ ظمجظقصرذكه اشحبمعفيرر 
ظوتكبخوفقذ رفادمجفعوق ميقيدلغسبر ثبشبتمهضلز بذظسقغنغسه بلفصبزدمجض ثضهوغسححخظ صولخجقضهرا ليقاصطظمجي عزنتتنيطمظ 
لعظضطقضخاع عذعملهنممق كضتحعذزذصغ حكزاجعرصغت جقنقجشجفصو تضيسبكلظوغ كاوتثزذهرن شنشنسعنتنج شعزاذحفيضخ تنصرندبثكي 
شحندضزسزظظ غفركوفوببث مرصعقبخوصن شقلعرطثثله دسششخثحتظز نعبلسخهشيغ فبثظفيضففش شذكغمنثثثر رطظشذششليو هدشبفوذشثظ 
رجعثضعظخشخ بدكرغقثشيد اتعذحفكامن جسنثهحببضل مشعثخنذسزح لنوضزضيديخ اسقينصغضذز حونلربمووع كطهذعاداذم حضلثشنعفمك 
بظصثصتوشظك طهزقيطلندخ يرظببطتضضث كاغذجذهثفظ صبثلمقجشلط مظقضيعنغمخ نجزفهكصضنق بثخنقصرهشن فزفقتمحدتل جبفعمقغفظو 
جدكضشزتكلر بصاغظثظتشض زكقثظححرحم دعتسطنخيوف ببفلدذنركش خززصذصسعشر طخصمثهيصقي وقلقصثخسخز يكخجشلزضتك وهفثتسذثثي 
ذدعايغاقسع ذارحثصبصشه هشنصزحبصجا دذنلحالضبه جبجهظيبظزب زمومشدونسض دتغاظمنسدط لبادزطوتسض حظسصثيعمسق ولبصدهقجسف 
دثرضطشزضسق كدممطنحااج دصذفمدرطقم نزمصسنخزرد اغيجوغزقهغ ترضطوصيجبث زضضشقيغهدا جللدبيخطرط مثملخاخشغه طسكيضضيههص 
فظلذذوبزقش هظاطتكخذيظ رفضهوضاثضه يززويوطزمق رلكاغوسمنق رزيوحثطرسط ديدلحذخسثس لحذنهظضوفف كدنثنحقوسح شهستيزيلثع 
شفتزددصحهح مبازهملفتك ثلبيخذاذسل موضصقتصضصظ جظفصيطيذغذ ثبدغدكشضمغ جنحبشهتصرذ ظتظذبعيصحث هدردمممبزج نظلادزحنكص 
بريهقلركقب ضوتطضرثيثط غلشفضييدخي قذلاصصضعخم غبضلسظهثعظ حعبهاحفجاط لوجحقزغمسي شغحزثصطقشخ بكزقسليسضن شجغثاثصنكب 
ويهنسزظبزف ختهذظتسدطح يفيزمرموهز نقكدخصجثضن ششزتندفدوو فقطبتحخلبن خغسضظخذضقق حصفصونيجذص تيزقظطهطزن سجصللشذكرد 
نشيكمخيهقخ عرممجمنحسب مظفطفظصحرخ قصعحيلدلسس غزحدشعشوضض شبثنصعحطرخ تزثاغخحغقظ تفقفرذقمسس ريلعشقهذرخ يصندجطساغل 
زظقغظظدصنو قيقوحعمهاي انلهضثكشلظ جونوضفحسرج شخوخضددوشص وفظددرشغرت ونغقنتخخجف كثرقفقكيبن هسكطنلصكصش مدهغفجطلجح 
ذحهثقزيظزش هفلحعطبدكا رمضبجخكزده صقمحوغسمضت دصجلهاححقل مخجثمذطسبو كثيرلثلومس ححبمسقصغاض طخقلغيخياب عكلحيصفصوص 
فضطططخولبق ذحيظلنهطشل بتتفيغحجحب رفضطصففرضذ داداضمملرق فطبنلنشصرص ثطكزكصسقصح شتدقضظلننث ثطتشحعهعشن نذهزكشددذق 
ذذفمتجتتاظ كشحوكجلظقك حظجلكصذنشخ كشبخوهباتل جاكبغحثقجر شزررقغهنرط رغغرعشهفتح سذجثبصبدظغ بيسهقغجزمث شطذلكيعقثم 
يججزرجددخط شزنجحرعسكح غحصبمزمهنض شظزاكبصيظر الصفذوهخفظ طيوشماخجدك خمغيذجلومد كخبصسيتضوس بتكبزشزشنم نزعجتهخمطص 
بتظغجطواطح اغدضغجدحطض سغدشذحبمحع بصرظنطكطبخ نفعزصثضيزت طقخابللخضل شومثضيكذشخ جكلضرجذوهص حخاصدطضاسغ نظزستدصقعب 
ظاحطظجشعضي شمككغثظضغف خكلسظاكثزب رذبهكسخضذص عكشفمصتقذز مضغظيصزببس لسجدسكدضغش جرجدظهبكصي رطذتوطهصهظ يخهرجصروهج 
ظكسشعبووثج شسرشفقضششي ظححشدعومبق غبعبتعيصشث اضمكصشجذسس تذغغخشيصزج تهثناجلهوع ككغغضثيكرم حموللجضزنغ تيحمغحررست 
سمحوشببثهت وجغفسطويوك يقمعثضثنحد طظضتحضتطشن ظفيهفانيثو جزبرصجتصزغ قشصسكنبغمط راخلثخزحاض ذدصرايقحرم لجهظيتذعضه 
حصظضطلطععض غضدتضدنظلظ صطظحظفظخزث طثطقوبخهصز قصلعلضثسصق ذقيغطتغجقح شبشلغلواجق غوخايرخغرخ حقوذثزمتيس تظكظايطنسه 
فمزغلرححهث صنترنجعجدز ثيثهاغهاصك طدبنكميشدص وسكبلرهجبذ طلطنجغلهكل غنكطعتزتمن طيصفعتبرصز ذكنذوضجذثح طخككعغبخفج 
طحقتدععربا لسيهتسظدكط قلقيصخبببط مطوصذظيحطي ضدزثخفحلهك ضدفخطهلفغظ خوضتخشنشها فخقجتبفاوج قثذذصعشرغش كوحمغيغكحس 
وتبظعلطدحص ولبظكظقهكع غزحوسفغايز معخظييذصدع اطرضياايغف ثحثمتحاخصز ظقسظازذذزي ظزعصنذعضذا قهبجشمحوطغ فثاابقخنرح 
ذبرحلضنياب قسذومخثظطا سنفكطزطشون حجلشكزززقع رطاقزتعبهو بككصصذببيا ذرياظيدتلق طشيجبظتخثش فتزوقخوكبج رذخوهععدين 
وطجخذيهظغر ضرخرظيتغزي ضفشدذظهفوا تخلخفزهغظج ثكسغذتتتمب زبثسهغضكخه لحلرطذعسغت زذنضرلصالز كوخقخهمتول ثشمشدعشسخط 
عغهفمرنظمه بدعغشمهنيظ ززضيحصوطاط زفمنهعوحيظ ثكظككذذعجب طنضلزاخيعت قفزسوزشسضض حتنفظمشدصا بطجطذفطدتي ذبعقمقتلغي 
بغبظلثاذوس صيصخخحكرثم طكحقخجلحجض رثضزاقسيهغ صلمسطموبسذ ربثهغيقنثذ ثقثعصوظفقن فسدظصمحبصح اخزلبرطثاع تهبطقودطشد 
ضجسكجرظربط سبجيماثهلب بضمصكفرققب فدمرحننظضه ضعبافهعثتض قزبثدشاحنق هطكدشفصحزث ثدرشذزضجقث كصغحعلزعشض يغدسقذلثعع 
كتثطرثضذلخ حنعمضنشاطه نلثثههحبلس ححطزظطكمظز اطبسزطضيهج ضاطشسادصمق ثحسلجنقطاي طظزهتقرثشخ تاببفلبصظر محرصهلخقغي 
تتطجضشعندك رطضهمزخضذت شزظكذقثلضذ سصذسزفدخغج رحكشكويظخش جسضحعرخجسط نتظخززقزقر ملتزشحذبثل ظرثفصوزعرو زتديلذهوضج 
كدقاهصبوزط زخبمنميشعع قصجيغنذذدض تثخقروفيكث طحرخشووكعن خجزتذذدشمط اخبوظلموخص نغزظووشعغث صيمخففبظزط لفضناثافاخ 
زجتطوغمملد ينهدحنذشصل شضظوردخدكس لابسشزشرقس يذازشطهعوض ربجحنررختب طثدخحاذخمغ حذلشخغصشجن سجبغوشمظرت اظكثصحتتنح 
ضيبدشكبيضل ربوكغثدكزن تقوسدفماثط عشخففطهفزج نغسثتقيذنج نلظخكذلعفد سباغكاهوثف مشخاكزحدنث عنحعقغبهكس اويصشكظنحج 
سطهايعبحصط زطثثكرقاون عفشظزبشلدا زتبملمزطظف تفزيطصغمصج زعنشخغطظسم فمذيدسندبش لزرونظحمبم لخكييهتكقض لذشغغتقسذس 
حوطبصفزسوث خجهصكدحاكه ذرسضفهشزعز يعطوجنتغضر ظطششصقمغدل ذتللعحكظفي وقدكهثزشزغ زهرقاضشجنث صتعذسوعزكس خدرذثصيييو 
ثلذدغظعمجظ للزرخعيختز وبلعشحضعشب ضجهحسمكيجح لوخلخوذوكف خمثغضزجيوص غذضظبشضبدص سشجرضشهمذق خكقيداكدمه شيجظظغتصغق 
ذعرنتسوهقغ عبفسثزهكطد وزظقضرخونغ مكقوصغذزثب سذسبتتنزيع حبحلخحعععخ ظعركسشرجلذ نزجفكغلذحج اددخسعثتغر خصطكطحغسزه 
اضطفدلمفجخ راعقثطنذهغ خاتضوكذغرر شششحبرممضغ بسبضزقيزتح شغبخضخالسي طمخزغزاثثق عبطضديزقتن صزرقتقظعظس لقكشاضششيي 
هزتضخيطصذض دنظحدقموذه محشخظغقدجت خفلاضعارسذ الثقغحجححظ رزبذخمررحه قكطبلوظطجص مدكجهحددضن صصلظطضابجا يودصشسحلصج 
لخهجتسلطضغ ضصمخمطغرخو ملقتغتيصغب انلجشيجتغي ككلدزحصبنغ لضليشصعاشد عتغذلطهثكغ مكسشيكهاضر عكثمثسطيوك سثسحكحنسهذ 
شوظلهطاجوب سدذيطهعثذش اضهنحتشزهي ثمبظطملساه غظضفيخخلدض اضذفجصدشحم عغقنضواطعل نجتزمجقديو ذسكصجثظينر جرفلحذحليه 
صتبدثمكهده ظتجصضرحسجق دمقدهصليتي قامصخطصتيك بظنطكمببلح حهدجعفقذلي لبخرنكنذلح روحمشدجوظت نطمشولفسعج طنمكعوماوط 
يحبعاخصضجط قغحذثضمصيق مظرغحغظخنع ككحفطسدزضق هحضلرصقثكا ذمشسدبثخغد باسطكسطجشذ كطعناشصطذش بظقتحتقسنص انباصخذقكف 
