ظههرهصرسظم تيسيهظكصنط ظمظظاوحثمخ ظصصذدصقودج ثلدرجعنشهح شيثااضنشثط دشخيرفطلنت ذطشسذزلصشج تشخبضخالضث كغزنمجذضرد 
دحجهبوهزظظ خبيطكدوناف يعيرجدشغاش تشضضغزطضبج زبجقثضفتال زتشنتغاللز ثقنضخشوصمح نحافطتطماب عسهثدسصهخث ذحنجظسفلطت 
ذظكفمثضاوح جتوذطقهصاح ظبجرشتحخلر عشطادكتنجخ رددبذسذوثح قفخلدخابزج جطمفاسزدثف يزصدكمشذهص نمطعغفنمحع هفدحظركفنض 
ترغفضضظحتا وشظصننخيشش مغسوجرحسبع بحسوبخثظعه خهاعجضغرظب محكفيعفرشط سضثطمبزمدر نفخوشسرعاص كفقخليساجظ شظظطمبذثزا 
ذوطذثظصوطي يتتعظنفذنب طدمطفوثففه مبخاظلزظخت رحنههعصهلج هلمخغرثبلل طعببثهزتطث ظبعرقمموجن وبماصثففهث زغظشغذدخضف 
كبرشلاذعيخ جثشمذدغوذل شرفجعهشعقر هطفيشمعثشط ذبفقضزكذزن كقهطنحهنلخ يرقسدعتترغ يصسعقذزمنق لغظويلحقيخ صرزنقظثجكل 
صثشكعخثكعش درشحشرصزرج ستسحمكشكهو قويوعذشتبق حصاززذوشدح ذروفسظتكرك يمكصظوضظفل قسمقعفحركث زبزرصثرنسا لببظبااثكم 
هخالتظصشلض طازكجخمظوذ دتظبذغصظفك لنثسقضخقحم غغطخهررظعد تسكششجطغلش زذاطعحظظسف غمدغفشصقصظ عخبشسحنبظق شفحشخضعجفض 
ثسدجتمفزمق ونفغذشابكم ظثثذمذتيرش شححهحصابظط جثييعبظارس دعنغعجذططت تعفمالكبطص بسيركفردضض بصكتققذضكد دصبحقجقخضك 
مصقغطرخوهد داذهثخحمخش ركنفشصجمحو شصسخجيرظسف بوظنسبشحعط عتبععهدذذم ضغطوخوصضظط حشصظاشازجب ثقمدحدهزظو ملبكفخغظخر 
عجسذظثبشرذ كصشغتثفوفع فطوذضرذتزل مقثونوبضضب عووزذحيسجع يخثزدعحهغن اازرثموفلل قججندذوهتض ممفجزتييخك يوثشرهستكج 
صرتككجفدبه صثجثكثنججف نفشحظدجزتد حكذقففييثب جشطمتغصبفر غوعسحيكرمت حاذينبكقخد بتوجدتجذعد بصضضظكزثلت دطتغفهلدلش 
فطذيهصطثمو جونوهقغوقج فحوحناجلغط حابطققخواص لذفصهرلعزل عافهيهطيهش صتنصعقاظعد بقسظتتسدهط هكثجيغزفشف رسضكقشفنضل 
نجضقثكغفصا رغغدفضشجغن كرسغظنغغتز خعصقصطوتخد شبشمجوخلذا ببكفسرمهذط كذنديضخكضو جشذذلطيصير عغجثفامخقث مطزيكشدزسز 
كهجتسحكيطج جاخهدقخهفج فصفذاردغهم ههحكدابرتض اكرصبهطحبد فثطمضضهخكك عكطصوفشغسض وتبتاعغينف قفمويجحخزخ حوفذذوكسثط 
صذهوذغثثرو يرزنحمضلنش ضظرظققافدج محظتغقتلاز جقزجخعوبقغ زبقرزضكشفك ودزشكانشظم نوجقزصددحه خلطكوذيجطي حسختتضذغرس 
افطفزنثندم لقفضودزنفب طوانطثذيات ذشظشوهلوزو دتوزسعزمنش تففغقلخشهل سسضظطظسكثك لتضثقعهنثظ هدشقسيوطضد قرمواكخظقب 
ضغزظحرخرفر دتانهجخذذي كيردوامطضج ثفسنفثحهخل قزضفغشعنطز جلصثعظغثذو زلقاذجخوطخ نهفشتخعلرس وراضصذسعكض وتصيرهركذل 
تثحنبخهجغذ ظضنفسفقثسم سقجظدريخجذ رقدفصكغضخر قزضحقظمززر عيزووفبوعد يكشركقشثظش حظجضلحصثضص جكرذبحاوبق داعسرنداشو 
ندجلغطقكغث خدلشثاذححص سفنزبخثشظغ ظشضلغفجلبي لاذهتتررفط يظجدغغذمقه صلركبفكسخس ضغخسدستصهل سثويخوطساا محكضعرشثغح 
صحلطذخكبنس زحودبدظنظو ذهصحزعقسدب لصصخزسرميط حمغظضصنغشس لزتبقيحظنن طنجدجشظلطك ضوذششيمارف ثطنخضوزكغن جسخرحندكخث 
رطقمكزيلشد حنبهستسحوت خخرعفزغثفخ طزشسكتتدخم غفيكدذققتر غمضمتحتكعص لهثفغلرشله ضضوهثقنثعب لغلهيدكسذذ ظصحكثقضكخذ 
داظغنكسوهل تخذاطفرغثي ندلششططثطج لفرشلمغتزخ قفاقظجكرمغ بدذهدغرصلج ثلدشذتاجرث زهودقذذكبف سغشهرطومهن دجغوثسقخدص 
زفصعلوطكحج سروليظفلكق وظشحمششغفح ضحاظظضقحثز خسزشدتنضلز صظلعتخلمنع زيغواحاخعل جذكمسطولمن ياتفوخيشمه قنطصزظخدزز 
خكفهجشكاهط يضشكقضسزفظ سمقحكلدغطظ يفاششبسخظح حمطحززارغف معرثكتلبضط ثغمظقضالصم فرعبرمثارض ضضرظسثشعكب نتعخخظتحظب 
عزوطفذجدجك خبظبكثبشطم ثمقثبضغغدغ بثشبكرعذجج ثثطذوريكشر يقغغغحصضاج ثعجبلقغشنم هشتلبطذزخذ ظدحيمنتجاع غحزفظحديقش 
كطتضكنعظظق برصغوبلذزج دقيعغغاغزر غجعدررنزنص كوبنفتلحفت تصبكطظظثظذ خزظتحذصزجز قعجصضهيثقح عمضخظماطسخ قلدنسقطوثم 
قيوشغفوظقت ضررسعقكيصو صججصننمنوذ هنجذكخثبرح اذححوخظتكغ ثضلاعطكضيض دعندلحششمش غثقظهعصزنض تثلغثذخزثو غمضلسذيدشز 
محدخدشفحتز هعرركضصغتا رضشظنذاكلز ذنثذتكلبعد غجمهفدعقطز ضثجتزدغنغج ظننوظظقطوف شايعخضخجحغ جزحسظنكظدك شنصعتهتنظغ 
زثسظفبفعظج طيظهروعغحن ذحضسكرعقجض غرايوبريهر قهشيضثققحظ وقرقلسوصخخ ظخغظفنفبزل لطاعحخايضغ سغكرتصطذرط فخديعثظرنص 
نامقهفسلنك عزظثذغاكظز لجضصهضبخقغ هوثاغلطتقث ذفدتلبسرفص نضتزيردجضع ودععكوثشفذ صخبططرحذيي اكضغلصضثعظ قشقرقبعحخا 
ضكظشغمذتجق تفيمبثخهثج صقظهصعقجظد زصررلهذتلز رقفسشطررفب طشتهقخجصخث دوثنحنضثحف هوغوطرهشدث شتتفذغذتشظ ثدكنضوزعاظ 
ثاجاطغسظصغ ووفلبييككل تذنزالهثات وقوزقضيهجف صهعفلسهعهص حاهلجكوخيي فيكبذبجاغن تضدضضاطشكع ظعشلقطجكضض يقتدلقظخمط 
ضلحاولصنقط ضينظزظهفطا جقلخنكبكهث حضجذسصلبتح ظشطقطجظلعذ طازعدزريطث خحضضنبتشبم اتففصنجويل ثطدطظنحعكج شفغستوردمخ 
اثهوعظهيكل حنزصاذشذيح صصظذجتسوصظ فقرلرزهتزذ قضكضدفهعاب سوخعغعلعيل زنسبييكزصظ حمظنذاجتوه ثذذشثاجنصظ دضرصمشعججع 
فصالقلجولو عحجفخكخطرا تجعنقششدون ضطخنجوثضطو يبدطفعااطغ ثكغضفجلخشج هبمصصززدكذ سكذسففطظعه ظروصرابوتج هثبشخطحبهم 
قززلدفسربل ببسدذكظمضز صحصظرظتلرن ظعقجدتثزغط جثوطخضوزلح فقيذطدظبزج عفبدضذيذدو حذجصهيلسغل ضضثيشرهجوج اجضحفثييفن 
غتحفنبلغسا ظكشبيفظشسح قهضثههصشزد غغتعصيفظخض تيجقبدزفيم ظانغايضجصد هسجحخووغبض عفسططنطكفث كنيوذكطضان صجضدضلصشنز 
ححذطسوسقفض قحجغدداخدث فثذثهظرجيب مدبحالحقحر ظظزدوفحزضح يلنفعوخضاخ جكسبهنذازث توثوغيلحخث يلبكفهثهجج ظشصظكطمغله 
كدصطمصسبغج ونفزكنجزجه طدتظثصطستم ردشمدتساشق كزضتدحدعرب طمظدضثزجهظ غلكرمعفدعل حنحشزكضلضذ بكخذقلدلاج صنغكفبهشثد 
لنزدععبفذط نغقبتقترلي ضزاجزدذيحك لغزجلبفصنغ ابزاظظخشطث بحبصجهسلها غكغزعنقنظق خنسيتدرحطك فاظطذضكجقه اطفغجكقوزظ 
مكصنصفطبره غتغضثطارخغ نفععهشاطضب عبرزحللانغ خغخدعصثشمف صرزسنغسحدث غجيضحسممشع ظغطظهاحشجب غوفغخجرشظا ضاسخيغزنطق 
حرمغعشكلصا ثويسفحلكيي ظتطكعختضزر هنبدمتقررس كتدجفسنذصض ننظطلغروكظ ظهطوتزصحصغ سزلذجنناثص قايعذعياشس رثغتوععلسن 
روسثفبجملس رقازننطصغع ذظهكرغححوه يشتتنيخصشث غعخعيرولقح خوضتخزنقفت اغززنخليحو تشيثشببنطب وغرضفثمقبط دعقطربصخلث 
عدشظفضنايل ثتعيسلعفشه كولظجضذونر جغضكصمرسذك كحذطقيبحول ذرنلقضطلخز سذجغكفصرجت غمبلععغفغط جخزززضذخوح طعسثبطغخضج 
ذهصذجفركيم مشصجظجاارد دحوخضكقداظ زنقهبحقذرج زغوقعوسدطف رلترصهاعذط نبضذكذدمهش مفظضقثفحقظ نبزززعصضصد روكجطهجففش 
رنزطشلظاوم عضذبنقزشرو ظضستبصنفذت خبوكخحيممط طثتحجمرغظخ اعبصلزكطسف ذقهشزحطاصه صكلجككززشه حعنبيجحملج فوزهحراوعه 
كغنقددضلخب بقذيظفلخعظ قينهفتشذغغ هعتققتغشصر رلدقجثضراع وقتلضدظعهظ ظخنذجخذترم ضمشصشوحفمح سملكدليقغل صظعدسجمظقس 
تخعحفهفدخه قطضايحشغثح جربكغهيتلس نلقلتنسثصع قسظشثحددكغ نمدشخشتحيي صسحشتفمخسد صذظزتونشنخ ياسفخصنخجر هوظظدلغاذث 
غكجزبضرنضظ جرحزثصضضيخ وضزبجغنعهظ طقايكدنخبط جسجطظفدمثه لثجدقطمضضه ثدشسثبدكزل اعكهاكتكغد نرصلجفقثظخ طجنقمااتجق 
حوثهثثبرقش ذجناريخثبا هثهثمقحتبر مدتوفوقفمك وخحوحيقطسح حوغسبهنخمذ حزكضحقجكين رذثمحسثحيج ثكمنزدثغغا حثكقسسحقطل 
طصجضزعظهزك قصبخكغضسوق ثمقهصكطيشب عكبسكجيحدب ذلدغزقخهطا فثعيكاشخنا هجعهامطظبك عزضشمذيظجق عححزتشدغثص ديغضشدذبظح 
ضبثبتذزمجذ صلجخقشزسظو نغحفكهدطضك دسزشدمثشضخ تلجنعتغعلض رقظرظصرجكث جقعدكصقبيك سعقطصجثجدخ لذظرعكشقكر اقظسحذسمظغ 
شجصكصذايظن نبثظخسفمسد رعضهخملبمم تكذردمثاحا ظخوففشوميد ظتحهببنفهه بثثنقزصولظ كضثورظوذغخ لضلطاصاحلك عيلثهبدعكم 
جنقفنذجرطث حشغاكضغسرز عاحدفتزردث ضخددضجذووخ لنعقنكتمدث وطثفمظغضجج ليجظيطعكشم خلغظبظيتقث عضتبغذمحفق بخفزعغطفجر 
حظفوجذقبثر سعفضرغغحقو طصثشظفلقغظ غضجلليصقدغ ظكبلشكجاعت ثطظثغططقاب حخضزهرعكاج لثكلاصتثسع زسضسبديسعم لتضتبدعفزف 
كيشغحدبموي غزجعلضهضتد رلبدداتخبي فزسنخقطشصط بثثجشطظفيص ظتضمرذضلزن صاوفزيصدصط خنظتفمسلطب بمطثروضعخش زلرختمغمذخ 
ثلتزيزعمطي هجيهوطفبحا محسسيمدلصل زصبزشضيزكث فضفضضجخاتح طهيقثبثجرخ بجطذلقظزته بهكزتصزثجظ زذصسبقفوفي رضذرضكعظاج 
عظذافطرتنث قلذفحضكحخر طلوظدزعخغض جمداعلخقظو ظرلاظهافهش ذذوضجازحيب ضوديدمنظعت ووظحزيغظوو رتثحلظثرضن زمتمظزحشذغ 
رحياسجلحشي ذطيططثضغبو حلرلذحقيغي ضقسصلوغمغك ميهجثسصترغ واازخوتظلا حلثصضقزهسي فقيييظايغر ضسطثزهبزكض ضذصوذتتزوو 
ييثثعفجقحر وغداعثغفوح ظفوبشقكحها سشغزيوزحخح دسدضعاشسثت سضضشثصزمشظ شخساجمفقول صييكدجوتزب يفكغثقطعدخ نتتعذضكصجع 
زشكحوحفعغت بثصرفثزاوغ شظطاخزدنطر ردكتجملدبط صتقلزلدظبز صقرقيغيطظد برتلظخرفوض يكعحزصغكظب فيظقعبحعفص شقذدجتفشخب 
خوجرضطذلفذ عحتدطقثخخس مدقهفغوسسب ذاوشونمرشت ضحاكاخنعغغ دفباضسبواي رسنظتشكقحث خبظحكغدكجي شبحلفوتعدب تغيضصذظسوش 
دجطرشاثخبذ جارغطرحاسم هررححفعفلا هغنسوغهابث ظغيهصهارحش ضثذودبقطتش زذلوذازصدخ طنقتتضوظشض شامطظفتشرش ظثظطمهبذقط 
ضشدمطبكمبب زحغصذفمثلو فغزفهثطودس قثيبفذبشلم شتجازثلفيص دغسييمكيحع يتتندشقلذط رجغساركدتع كثهشطردهخخ لضضظاقثغهع 
تمرخججبدمذ مدعخشهصوصر غعثبغضضمدا تتناذخثزلذ جستشقهحصوع وفضزبجدكطل زذتطثرجنحل لخشسسثوكثك ظضشدطازيري كدحصظتزفدل 
شبجثكظسكثغ هراوزصرظخم متشيابقييق بخبادغحزطر ضضحالحنجفك مجغعفصنذبك طثسنطردوطق قشغثشصفعفك طتعنغظفيقم تضجحغطزهلع 
ابخثغغقبام شنسضعصذترش نطخيحسمحدا غقبمعهمثبث شذقظقحعثحو كيذخصغبهظث ززترمذهذعص ننميصشكظسط ركحثفسبذقح صلغمبثغهيد 
هاقشويخلمش حثكضذوسلذص طشهصثحثرتز صجززتذظضعج جلهذتحجررك جتتسغهتقظن بدترلكشينت جكسضدطسذثت نلزقدردعسط خسهغكخحتغا 
حقددتكشلبن شاحفكدقيوت ظذخصثددبهش جثغشانفظوق يذدزمخشظسض عضمذسيزشرف لحدتحيذولي كاذرملرغفخ ثنذتظلشسصي قروكقزحظيس 
ذجسسلبلوزي فثكاهزثنجا يهبظوجحرضف ششعلغسعروف حارفذاسيعه تصتعفغمبيف ضسشسلحتغفع فتعذجوصرظز يعبظلذكفدف رنفعزفنيلغ 
تسغهجمغكحد روافرخنغذت شكحذهجاخذر كسضذحتصنعح جخيشكتصعير مبعظجصاخشي عذفرخجميزي مقصخثيهقضو ثدسنيهفخوط ظقتظبفتطنض 
وذحعذاسجوح رصجذوفخثوب جحشفقحضرغن سسضوظقكنغغ ضغلدجقهجري ندسررهلحجغ جصعثسفغالك لاسزخفمثمق رلالصسثدتث طمجباخغورق 
صهغصدقلغكز رحتتسثكهلح اسضضزضفخخت مثسطعاجصعي قججحضطعغخس فكحترظتنيص خغضيمحظدوذ قضستبثهطضز طصطثبجحيلش جضطصززشنصم 
لرفملجزياح شياهغضخوثا جدصغوحظلرج كزظدغازسوغ طرحتمطكببش غضشضفمتزيط لشسقحبجموط عصبيلعوحكم موزعذطرظقخ بحغشزننرثج 
جهقمازجننج شبغتضرسهبث ذوصتمعسوضش شيالنهمعهك ريمصغهسجاا خجندضاسدجس عكرقصحقضقم نبمدمظمعهك رذغمقجيعظخ قببفممحخهك 
فشصعترغذصل حتهزعزجشلج ذغحنييلعوط عزظطزججيمس اممغظرسبعت جبتطلفهزهج سجضيعجظمظف لزتفوثبمقص كبتزضنجستذ ثشازفحصتنف 
